sample_id,job_id,model_label,tier,condition,stratum,stratum_population,temperature,negative_stem,none_of_the_above,all_of_the_above,combination_options,fill_in_blank,true_false_stem,longest_option_key,option_length_outlier,absolute_terms,vague_terms,clang_cue,grammatical_cue,nonparallel_options,numeric_not_ordered,numeric_units_inconsistent,overlapping_options,options_not_alphabetical,n_flaws,n_options,key,stem_words,key_chars,mean_distractor_chars,detector_version
1,525c2ccf12c4,Grok 4.6,flagship,plain,flagged:longest_option_key,976,0.7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,3,5,E,74,41,19.8,1.2
2,0d439b29fa12,Gemini 3.1 Pro,flagship,plain,unflagged,9781,0.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,B,80,10,15,1.2
3,b75c90d6a095,Gemini 3.1 Pro,flagship,plain,unflagged,9781,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,C,85,34,32.5,1.2
4,fea200b30ab9,GPT-5.6 Luna,base,guided,unflagged,9781,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,60,23,35.5,1.2
5,80f2d652f460,Llama 4 Maverick,base,plain,unflagged,9781,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,50,46,49.5,1.2
6,e042cace0243,Mistral Small 2603,base,guided,flagged:nonparallel_options,170,0.7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,C,77,67,42,1.2
7,308deb103d24,DeepSeek V4 Pro,flagship,plain,flagged:vague_terms,4,0.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,A,101,71,60.8,1.2
8,b9fa0923b956,Qwen 3.8 Max,flagship,plain,flagged:longest_option_key,976,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,A,111,39,26,1.2
9,2a563c60be42,Qwen 3.8 Max,flagship,guided,unflagged,9781,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,114,13,11,1.2
10,fbf3bc9fd3ea,GPT-5.6 Terra,base,guided,unflagged,9781,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,83,43,44.2,1.2
11,d26330dbe21a,Claude Sonnet 5,base,plain,flagged:clang_cue,689,0.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,C,99,64,64.8,1.2
12,5ec7443125fc,DeepSeek V4 Flash,base,guided,flagged:nonparallel_options,170,0.7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,3,5,A,81,24,27.8,1.2
13,28673eac89de,DeepSeek V4 Pro,flagship,plain,unflagged,9781,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,59,18,19,1.2
